This file was created using the 202509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

Please be aware that some of the value-weight averages of operating profitability for
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for
individual firms. We have spot checked the accounting data that produce the
extraordinary values and all the numbers we examined accurately reflect the
data in the firm’s accounting statements.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
196307,  -0.6108,   1.2730,   2.5290,  -0.5216,  -1.0972,  -1.1750,  -1.9451,  -1.1903,   1.2298,   0.6014,  -1.2322,  -3.8044,   0.0324,  -2.7520,  -1.1991,  -3.4933,  -0.7782,  -1.8743,  -1.2705,  -0.1780,   0.5629,   1.5663,   0.0336,  -0.9588,   0.6651
196308,   2.2692,   4.0724,   2.8528,   2.0117,   4.2513,   6.6139,   6.0332,   4.1980,   4.3652,   4.1602,   6.4947,   4.4979,   3.8713,   4.5735,   7.1690,   5.4407,   5.3157,   6.5548,   4.4932,   6.7475,   5.0647,   4.2175,   5.2946,   5.6994,   5.9952
196309,  -1.2115,  -0.8760,  -2.3407,   7.4614,  -1.4111,  -1.9101,  -1.8399,   0.3819,  -2.1290,  -4.1133,  -0.6188,  -1.5697,  -1.7206,  -1.3673,  -3.5884,  -1.7840,  -0.8339,  -2.5080,  -2.6017,  -2.3103,  -2.8151,  -2.1607,   0.9056,  -1.8269,  -1.2079
196310,   0.3526,  -0.8650,   0.8505,   1.3877,   0.3652,   3.5288,   3.2906,   1.6911,  -1.3657,   4.8014,   1.7919,   2.4473,   3.4886,   1.5877,   1.0544,   3.0513,   0.3930,   1.8017,  -0.5941,   3.1224,   0.3830,   0.0457,   2.3930,   3.1507,   7.7959
196311,  -2.1603,  -1.4852,  -2.8550,  -3.4152,  -2.9596,  -1.2879,  -0.1063,  -0.6418,  -0.4184,  -1.9823,  -1.0905,  -0.3619,  -2.3565,  -3.0870,  -2.4164,  -0.0982,  -1.2203,   0.2046,  -0.4642,   0.4772,  -1.3778,  -1.0265,   1.2647,   0.7541,  -2.7811
196312,  -1.0635,  -0.7535,  -0.6120,  -0.2607,  -2.2553,  -0.2407,  -0.3820,   0.2270,  -0.3036,  -0.2590,   1.8301,   1.7084,   0.7523,  -0.9048,   3.1866,   3.6695,   1.3382,   0.6492,   1.4143,  -0.7617,   0.9932,   4.4060,   1.5860,   2.9791,   2.1818
196401,   5.1663,   4.3909,   3.0015,   4.0100,   2.8026,   1.0348,   2.2982,   1.6276,   2.1314,   2.0257,   3.9799,   1.7424,   0.6054,   0.8801,   3.8781,   2.2588,   0.8233,   2.1461,   0.7215,   0.4096,   1.7993,   4.8237,   2.3806,   1.7614,   3.0704
196402,   3.7194,   0.7002,  -0.4736,   1.1963,   2.7256,   3.4705,   1.5975,   0.4685,   0.0373,   4.5946,   3.0412,   2.3365,   2.0274,   1.3405,   2.5241,   1.6272,   1.6625,   4.2797,   2.2119,   3.2640,   2.1609,   1.7184,   0.8592,   1.5572,   2.2893
196403,   2.4410,   2.6142,   1.6924,   2.2058,   1.7127,   4.8871,   6.0267,   2.8083,   3.2354,   4.6773,   8.4097,   3.8731,   2.4716,   2.6802,   1.8203,   4.9986,   3.2843,   3.8804,   2.2892,   2.9400,   0.9753,   2.7559,  -0.0286,   1.3964,   1.9702
196404,  -0.6884,   1.3440,   0.5370,   2.1782,  -1.4837,  -0.6448,  -0.7727,  -1.6906,  -2.5246,  -1.0622,  -1.7665,  -0.4055,   1.5784,  -3.9120,  -1.4745,   5.8518,  -0.1538,  -0.6968,  -0.2638,  -2.8173,   4.9368,   1.8506,   0.3625,  -1.1606,   0.8090
196405,   1.7974,  -0.3082,   1.4874,  -0.2677,  -1.4613,   4.5394,   1.1764,   0.8962,  -0.8165,   3.6140,   1.5731,  -1.3553,   1.5470,  -0.1611,   1.7231,   1.5252,   1.7621,   1.7824,   1.4773,   2.6498,   0.7302,   2.4567,   0.5482,   0.4350,   2.8595
196406,   0.2571,   1.9629,  -0.3899,   3.0406,   1.2656,   1.5088,   2.3601,   1.8914,  -1.0672,   2.6560,   1.7923,   3.2048,   2.7096,   2.0122,   1.4091,   0.2795,   1.8438,   2.5663,   1.0603,   0.9339,   2.0808,   0.6906,   4.0886,   0.5732,   0.8336
196407,   3.5099,   4.8459,   2.6571,   2.8677,   3.8184,   3.5637,   2.3858,   1.7788,   1.8586,   3.3331,   1.1467,   5.0260,   3.3456,   2.2046,   1.5120,   0.0380,   2.2521,   1.1822,   3.3743,   1.9765,   2.4209,   1.9320,   0.5675,   3.1846,   2.3478
196408,   0.2745,  -0.5133,  -0.9899,  -1.0822,  -0.8472,  -1.9121,  -2.1837,  -1.6586,   1.4130,  -0.4884,  -1.2333,  -0.4530,  -0.8847,   0.9003,  -1.4588,  -0.0810,   1.7305,   1.3931,  -0.2899,  -2.3192,  -1.8768,  -1.9919,  -0.8401,  -1.1616,  -1.2488
196409,   2.6285,   5.2773,   4.0422,   4.7317,   5.5113,   4.9375,   2.4379,   2.7618,  -1.1620,   2.8541,   1.5694,   3.8425,   2.8162,   1.0822,   2.6815,   3.5473,   4.1831,   3.6368,   2.0037,   6.4102,   4.7375,   3.7136,   1.0699,   3.8000,   2.9840
196410,   2.3855,   1.7661,   3.0133,   2.3194,   3.8814,   0.9263,   1.3266,   1.2307,   1.5864,   1.3626,   1.8010,   2.0763,   2.0872,   2.0202,   4.6198,   1.7297,   3.5322,   0.4720,   2.1763,   0.4994,   3.7559,   1.9205,  -0.0938,   1.7726,  -0.5411
196411,  -1.0049,   0.2779,   1.5782,   0.1840,   0.9416,  -1.7612,   0.6479,  -1.2675,  -2.5158,   1.3373,  -1.3727,   2.1339,  -0.2977,   2.1797,   0.6922,  -0.1883,   0.5349,   1.3017,   0.1349,   0.7615,   0.5664,   1.0632,  -0.6594,   1.2578,   0.3082
196412,  -1.1603,  -2.2520,  -3.2934,   0.0763,  -2.4415,  -0.4757,   1.5815,  -1.2738,   1.1583,   0.6688,  -1.0527,  -0.4619,   0.1168,   0.2114,  -0.4010,  -1.6411,  -1.8595,   0.8988,   0.3300,   0.8116,  -0.6827,  -1.1561,   2.0121,   0.3960,   1.1220
196501,   7.1201,   7.7348,   5.7363,   8.3590,   8.6293,   5.7877,   4.8579,   6.2385,   6.7105,   7.6107,   6.0778,   7.1813,   4.2132,   5.4552,   6.1440,   8.6090,   5.1657,   3.4843,   5.4122,   6.6065,   3.5496,   0.0812,   1.7744,   4.6915,   5.5097
196502,   2.0830,   2.2923,   3.7428,   3.0494,   3.9559,   3.7317,   1.8796,   5.6263,   3.5527,   2.7759,   3.9785,   4.0412,   4.9232,   1.1826,   6.1707,   2.5358,   3.4183,   2.8942,   2.3351,   4.0963,   2.0756,  -2.7923,   0.7962,   1.1627,   0.5511
196503,   1.7912,   4.1599,   2.9538,   0.0750,   1.6865,   0.4138,   0.1340,   0.5367,   1.0458,   2.4785,   0.2099,   0.3760,  -0.2540,   1.6301,  -1.5153,   0.4958,   0.6138,   0.5702,  -0.6761,  -1.8961,  -2.6362,  -2.5111,  -1.1878,  -0.4221,  -1.3978
196504,   3.4408,   5.6786,   4.4981,   3.8916,   6.0754,   3.8380,   3.1639,   5.6656,   2.5754,   2.8442,   4.9659,   3.7121,   4.4199,   4.9503,   3.1203,   5.7850,   3.1931,   4.3402,   2.6348,   4.6049,   3.3151,   1.4168,   3.4000,   3.2946,   4.6026
196505,  -1.0082,  -1.1204,  -1.2449,   0.0627,  -0.0810,  -0.0669,   2.0474,  -0.4154,   0.8222,  -0.2845,  -2.1786,   1.5738,  -2.0523,   0.4571,   1.0968,  -3.1075,   0.3248,  -0.7971,  -1.1207,   2.3983,   0.5470,   0.4329,   0.7453,  -1.1525,  -0.7650
196506,  -9.8439,  -9.2340, -10.7239,  -8.9596, -10.4153,  -9.4215,  -7.6374,  -9.4746, -11.0295,  -9.5766,  -9.1390,  -9.7062,  -7.9343,  -7.8564,  -8.2963,  -8.5033,  -8.9770,  -6.1979,  -5.8871,  -8.7543,  -6.4793,  -1.9216,  -3.9465,  -4.7977,  -5.1087
196507,   3.1880,   1.1083,   5.6763,   2.7386,   3.3724,   2.8778,   3.3996,   2.8674,   2.4171,   2.5617,   4.0625,   6.2875,   2.2081,   1.7246,   2.6531,   3.9509,   2.7924,   3.9937,   2.6097,   2.8033,   5.6300,  -0.0908,   2.2994,   0.3591,   1.9507
196508,   3.5914,   2.4359,   3.8438,   4.2713,   4.5975,   5.0314,   5.9436,   4.4325,   2.9101,   7.2513,   5.9854,   7.4497,   5.4597,   3.6072,   7.7975,   3.2851,   5.1622,   3.9482,   3.4369,   5.7731,   0.4771,   1.1351,   2.0822,   2.0825,   4.7702
196509,   4.0848,   3.0920,   5.9011,   3.7292,   3.9210,   5.1134,   5.1485,   3.0934,   4.3417,   3.0316,   3.8821,   5.5548,   4.3859,   2.6514,   2.4586,   4.4257,   2.4102,   2.1049,   3.4763,   5.0876,   3.9224,   2.2157,   3.6556,   2.8702,   4.1293
196510,   8.2241,   6.9127,   7.7050,   6.9076,   8.2101,   6.2504,   6.8212,   3.4224,   2.6079,   7.2625,   4.8128,   8.4337,   3.7598,   4.8942,   5.9239,   4.5372,   3.1626,   3.0536,   3.0992,   6.5021,   2.2148,   0.5216,   1.0006,   2.5103,   4.8215
196511,   9.6403,   6.1539,   4.9329,   6.5483,   3.6110,   4.9916,   4.5527,   3.3399,   1.3802,   6.3472,   2.5611,   3.3474,   4.2325,   4.6290,   5.6936,   0.8441,   2.4947,   2.7137,   3.2505,   6.7083,   1.8326,  -1.8134,  -1.3527,   0.8627,  -0.5156
196512,   4.6710,   3.2180,   6.9579,   2.3833,   7.3322,   7.5986,   3.3757,   3.3785,   2.7601,   4.2135,   1.9551,   4.7551,   3.4582,   1.8267,   2.4650,   6.0922,   1.9972,   3.3097,  -0.1938,   1.8719,   1.3556,   0.5996,   1.2102,   0.8624,   0.4867
196601,   8.7917,   9.3107,   4.8173,   8.9720,   5.6165,   7.9077,   7.6548,   5.5095,   3.0717,   4.8448,   7.0106,   3.0648,   2.9454,   3.7550,   3.8229,   5.4723,   3.5713,   2.3159,   1.5890,   4.1158,   3.1094,  -0.4975,  -1.6893,   0.0210,   0.9251
196602,   5.5453,   8.2697,   5.1124,   5.1954,   4.6160,   4.5333,   1.4031,  -0.6452,   0.2777,   1.7089,   2.1825,   4.9302,   3.0234,  -0.5943,   1.4075,   1.2638,  -0.3068,  -0.8590,  -0.3859,   3.8159,  -2.6327,  -1.5804,  -3.8067,  -1.7917,  -0.7452
196603,  -0.8671,   0.6955,  -3.9784,  -2.6881,   0.7657,  -2.0421,  -4.4252,  -1.3673,  -3.6440,  -3.1728,  -5.0768,  -3.7935,  -1.2357,  -0.4381,  -2.5802,  -2.2956,  -3.6961,  -2.4935,  -2.1876,   2.0096,  -3.9624,  -3.5932,  -0.9372,  -1.3914,  -1.3277
196604,   5.7686,   2.4145,   6.2141,   7.4728,   9.4939,   7.1465,   6.7500,   4.3896,   1.3503,   3.9317,   4.1511,   3.6930,   3.1507,   7.3693,   3.8979,   2.1326,   1.6704,   4.5825,   3.5219,   4.3262,   0.7286,   1.9282,   2.5247,   2.3208,   1.6010
196605, -12.8226, -10.0056, -10.7703, -11.0412, -11.5465, -10.7101,  -9.5917,  -8.7663, -10.3146,  -9.2331,  -8.2205, -10.0660,  -9.6195,  -6.6708,  -7.2633,  -9.0867,  -6.4156,  -5.9092,  -5.6462,  -6.2198,  -5.7943,  -4.4159,  -4.3770,  -4.2137,  -4.1589
196606,   0.0739,  -1.3402,   1.4745,   3.5901,   0.1468,  -0.1464,   1.1736,   0.1332,  -2.0841,  -0.0778,  -0.9284,   1.3026,   0.5075,   4.7825,   0.2409,   1.3188,  -1.9018,   1.9747,  -1.1510,   1.6745,  -1.2436,  -1.5455,  -0.1918,  -2.0589,  -1.8963
196607,  -1.5664,  -1.5121,  -2.1925,  -0.7626,  -2.3440,  -3.0664,   0.7806,  -0.8168,  -3.3463,  -1.5941,   0.5221,  -0.3517,  -1.7479,  -1.1251,  -2.8486,  -3.6191,  -0.9249,  -2.3472,  -1.1519,  -0.8713,  -0.6667,  -1.3622,  -0.0361,  -0.6059,  -1.6288
196608, -11.8517, -11.1666,  -9.8935,  -9.8139, -10.6122,  -9.8405, -10.0520, -10.8758, -10.0962, -10.5547,  -6.5319,  -9.5220,  -8.6748,  -8.4464, -10.5583,  -9.7792,  -8.4194,  -8.1240,  -7.2143,  -8.9517,  -7.8774,  -5.5098,  -7.0281,  -7.3412,  -8.0478
196609,  -1.9747,  -2.6880,  -1.9118,  -1.1726,  -1.4124,  -2.3945,  -2.3390,   0.7618,  -1.7147,   0.4936,  -0.9185,  -1.0594,  -2.5571,  -2.9880,  -3.0499,  -2.6776,  -1.7237,  -0.5660,  -0.0802,  -1.3922,  -0.3778,   0.7295,   2.4903,  -2.5856,  -1.5737
196610,  -3.7299,  -3.2293,  -2.5730,  -2.6746,  -6.1777,  -1.4527,  -0.2384,   1.7461,  -0.5248,  -4.8607,   1.0894,   3.7982,   2.4901,   3.3307,   0.3524,  -1.1281,   6.3956,   4.0942,   2.9840,  -2.2465,   6.0022,   8.6398,   7.6786,   2.7634,   2.2939
196611,   3.8351,   3.8121,   1.9889,   3.8542,   7.5891,   3.4688,   0.3006,   2.4285,   4.4882,   6.1766,   5.1357,   2.9839,   3.2967,   0.4285,   9.0680,   4.5189,   0.6963,   3.2336,   2.6264,   8.9819,   1.7476,  -2.0780,  -1.8290,   2.2602,   4.7381
196612,   0.9988,   0.5823,   3.4825,   4.7169,   1.0481,   1.2799,   2.8727,   0.3450,   1.2128,   2.9901,   0.7682,   3.1113,   1.6820,   1.8629,   3.7890,   2.9455,   2.2266,   3.5629,   1.7981,   2.9070,   0.8128,  -0.2772,   0.7559,   1.5872,  -0.9655
196701,  18.1502,  22.9257,  18.8385,  18.0928,  19.2974,  17.4997,  18.6182,  15.3581,  16.9698,  19.6435,  11.8700,  13.0064,  13.5571,  12.6295,  16.9021,  15.9855,   9.4609,   8.3576,   7.6685,  11.5835,   7.8822,   5.9314,   6.0298,   7.2179,   8.3793
